question,q_len_chars,q_len_words,q_wh_type
How many chapters or sutras are there in the Koran?,51,10,quantity
In old measures how many chains made a furlong?,47,9,quantity
What is the maximum letters or spaces permitted in a racehorse's name?,70,12,what
"How old were Cass Elliott, Karen Carpenter and Keith Moon when they died?",73,13,age
In which year did the Queen marry the Duke of Edinburgh?,56,11,which
In which year did Mrs Bandaranaike become Prime Minister of Ceylon?,67,11,which
How many faces has a dodecahedron?,34,6,quantity
Which is the only prime number between 90 and 100?,50,10,which
How many acres are there in one square mile?,44,9,quantity
"To within a year either way, how old was Mickey Rooney when he died in April 2014?",82,17,age
To within one year either way how old was Joan Rivers when she died in September 2014?,86,17,age
"In which year did all the following events occur: Tunguska explosion in Siberia, First Model T Ford produced, 2-year-old Pu Yi becomes Emperor in China and the Summer Olympics first held in London?",197,33,which
In what year were the cave paintings at Lascaux discovered?,59,10,year
"Name the year- The Winter Olympics staged in Grenoble, France; Martin Luther King, Jr. is shot dead in Memphis, Tn; The ?I?m Backing Britain? campaign endorsed by Harold Wilson.",177,29,other
How many years are there between Preston Guilds?,48,8,age
"In which year did the following occur: formation of the Football Association, opening of the Metropolitan Railway in London and the wedding of Edward, Prince of Wales to Princess Alexandra of Denmark?",200,32,which
"In which year did the following occur: first cricket test match, first Wimbledon tennis championships and the University boat race is uniquely a dead heat?",155,25,which
in what year where the Summer Olympic Games hosted in Montreal?,63,11,year
In what year where the Summer Olympic Games hosted in Melbourne?,64,11,year
In which year did traffic wardens first appear on the streets of London?,72,13,which
In what year was the CIA founded?,33,7,year
In which year were Nobel Prizes first awarded,45,8,which
In which year did General Franco die?,37,7,which
"To within 2 years either way, in what year were MOT tests first introduced for cars?",84,16,year
"In the 1976 sci-fi film “Logan’s Run”, at what age are people killed off to prevent over population?",100,18,what
In which year was the first General Election in which women had an equal franchise with men?,92,17,which
In what year did Indian troops storm the Golden Temple at Amritsar and Soviet Premier Yuri Andropov die?,104,18,year
"To the nearest 5000, what is the crowd capacity of the new Wembley Stadium?",75,14,what
"To the nearest 1000, what is the crowd capacity on Centre Court at Wimbiedon?",77,14,what
How many threepenny bits were in a pound?,41,8,quantity
In what year was the Cuban missile crisis?,42,8,year
What is the largest prime number less than 100?,47,9,what
In what year was the Suez crisis?,33,7,year
In what year where the Summer Olympic Games hosted in Munich?,61,11,year
How many senators are there in the US Senate?,45,9,quantity
in which year was the Duke of Marlborough victorious at the Battle of Blenheim?,79,14,which
How many cards are used in the card game Bezique?,49,10,quantity
Despite its name how many bytes are actually in a kilobyte?,59,11,quantity
"Within one year either way, in what year were Concorde planes retired from service?",83,14,year
"Within one year either way, in what year did the Channel Tunnel first open for business to fee-paying passengers?",113,19,year
"How many letter tiles, including the blanks, are there in a game of Scrabble?",77,14,quantity
"""In what year did """"Rocky"""" win the Best Picture Oscar, Apple II computer go on sale and Jimmy Carter was sworn in as US President?""",132,25,year
"In what year did 'Terms of Endearment win the Best Picture Oscar, the Macintosh computer is released by Apple and Indian Prime Minister Indira Gandhi is assassinated?",166,27,year
The first Consulate of the United States in the world opened in Liverpool in which year (allow 5 either way)?,109,20,which
How many viewing capsules are there on the London Eye?,54,10,quantity
Which was the first year the World Cup was televised in colour?,63,12,which
In which year did Louis Bleriot become the fist man to cross the English Channel in an heavier than air craft?,110,21,which
In which year did the Channel Tunnel open?,42,8,which
How many stars are there on the EU flag?,40,9,quantity
In what year did the United Kingdom National Lottery begin?,59,10,year
In which year was the Great Train Robbery in Buckinghamshire?,61,10,which
At any one time how many holders are there of the Order of Merit?,65,14,quantity
The fountain ink pen introduced by Parker in 1941 that achieved legendary status has what number in its name?,109,19,what
What is the title of the landmark television commercial that launched the Apple Macintosh in the US in January 1984?,116,20,what
"As numerous countries gained their independence in that year, which year in the second half of the 20th century is known as the 'Year of Africa'?",145,26,which
"Ephialtes of Trachis was the traitor who showed the Persian forces a trail around the allied Greek position at the pass of Thermopylae, which helped them win the Battle of Thermopylae in 480 BC. He was portrayed as a severely deformed man in which blood-soaked 2007 movie?",272,47,who
In which year did Burges and Maclean defect?,44,8,which
How many 'Red Balloons' did Nena sing about in 1983?,52,10,quantity
"Name the year Idi Amin seize power in Uganda, barriers collapsed at Ibrox stadium killing 66 people and Joe Frazier beats Muhammed Ali on points?",145,25,other
How many gallons are there in a hogshead?,41,8,quantity
For far in feet is a Cable?,27,7,other
"There have been three different years in which England has had three kings, 1066 and 1936 are two of them, what is the third?",125,24,which
"In which year did the Ayatollah Khomeini die, American troops remove Noriega in Panama, and Alain Prost become World Motor Racing Champion for the third time?",158,26,which
"In which year did the Bosnian Civil War begin, Steffi Graf win the Ladies Singles title at Wimbledon for the seventh time, and TWA become bankrupt?",147,26,which
In which year did Victoria become Queen?,40,7,which
In which year of the 1960's was the 'Six Day War'?,50,11,which
In which year of the 1970's was the 'Yom Kippur War'?,53,11,which
In which year was the English Football League founded?,54,9,which
In which year was the English Football Association founded?,59,9,which
In which year did Mother Theresa of Calcutta win the Nobel Peace Prize?,71,13,which
In what year was Monica Seles stabbed in the back during a tennis tournament in Hamburg?,88,16,year
In what year did Freddie Starr's horse 'Minnehoma' win the Grand national?,74,12,year
"In which year was Benigno Aquino murdered, the USSR shoot down a Boeing 747 off Sakhalin Island, and America land troops in Grenada?",132,23,which
"In which year did the 'Easter Rising' in Dublin begin on Easter Monday, April 24th?",83,15,which
In which year was the Prince of Wales born?,43,9,which
How many players are there on a Shinty team?,44,9,quantity
How many MP's are there in the House of Commons?,48,10,quantity
"In which year did France withdraw from NATO, and Indira Ghandi become Prime Minister of India?",94,16,which
"Which year saw Castro create the communist state of Cuba, and Makarios elected President of the newly independent Cyprus?",121,19,which
In which year was the wearing of crash helmets for motor cycle riders made compulsory?,86,15,which
